Year,Month,Day,CountryNo,Country,Region,City,success,AttackType,NoOfKills,PropertyValue,TargetType,latitude,GroupName,longitude,TargetSubType,Target,WeaponType,WeaponDetail
1970,1,12,217,United States,North America,Rio Grande,1,Bombing/Explosion,0,0,Business,18.379998,Strikers,-65.83094799999999,Multinational Corporation,General Electric factory in Rio Grande Puerto Rico,Explosives,Bomb
1970,1,13,217,United States,North America,Seattle,1,Facility/Infrastructure Attack,0,17000,Business,47.610786,Black Nationalists,-122.331306,Retail/Grocery/Bakery,"Fuson's Department Store, Seattle Washington",Incendiary,Firebomb
1970,1,14,217,United States,North America,Champaign,1,Facility/Infrastructure Attack,0,0,Police,40.116748,Black Nationalists,-88.23926999999998,"Police Building (headquarters, station, school)",Champaign Police Department,Incendiary,Firebomb thrown through window
1970,1,15,218,Uruguay,South America,Montevideo,1,Armed Assault,0,2500,Educational Institution,-34.891151,Tupamaros (Uruguay),-56.187214,School/University/Educational Building,"Secondary School, Chemistry Lab",Firearms,Automatic firearms
1970,1,19,217,United States,North America,Seattle,1,Bombing/Explosion,0,2200,Educational Institution,47.610786,Black Nationalists,-122.331306,School/University/Educational Building,"Liberal Arts and Garrand buildings, Seattle University",Explosives,
1970,1,19,217,United States,North America,Seattle,0,Bombing/Explosion,0,0,Military,47.610786,Student Radicals,-122.331306,Military Recruiting Station/Academy,Air Force R.O.T.C. at the University of Washington,Explosives,
1970,1,19,217,United States,North America,Jersey City,1,Facility/Infrastructure Attack,0,0,Violent Political Party,40.717892,White extremists,-74.06746700000002,Party Office/Facility,Headquarters,Incendiary,Gasoline was placed on the steps of the building and set on fire.  Between 10-30 shots were fired.
1970,1,20,83,Guatemala,Central America & Caribbean,Guatemala City,1,Assassination,1,0,Government (Diplomatic),14.622869,Unknown,-90.529068,Embassy/Consulate,"Bodyguard, British Consul",Unknown,
1970,1,21,160,Philippines,Southeast Asia,Quezon City,1,Bombing/Explosion,0,5000,Government (Diplomatic),14.67428,Unknown,121.057495,Embassy/Consulate,JUSMAG HQ,Explosives,Explosive
1970,1,22,222,Venezuela,South America,Caracas,1,Hostage Taking (Kidnapping),0,0,Business,10.482834,Armed Forces of National Liberation- Venezuela (FALN),-66.962128,Retail/Grocery/Bakery,"Leon Jacobo Taurel, son",Unknown,
1970,1,22,217,United States,North America,South Sioux City,1,Bombing/Explosion,0,0,Private Citizens & Property,42.47031,Strikers,-96.413949,House/Apartment/Residence,Unknown,Explosives,Dynamite thrown at foundation of home
1970,1,25,217,United States,North America,West Point,1,Facility/Infrastructure Attack,0,0,Private Citizens & Property,33.60651,White extremists,-88.650419,Race/Ethnicity Identified,Building used as a meeting place for African Americans.,Incendiary,
1970,1,25,217,United States,North America,New York City,1,Armed Assault,0,0,Police,40.697132,Black Nationalists,-73.931351,Police Security Forces/Officers,New York Police Officers responding to a call in Harlem,Firearms,Nine thirty-caliber cartridges from a carbine and eleven nine-millimeter shells
1970,1,26,217,United States,North America,West Point,1,Bombing/Explosion,0,0,Government (General),33.60651,Black Nationalists,-88.650419,Judge/Attorney/Court,Clay County Courthouse,Explosives,"Several sticks of dynamite were thrown, from a car, at the courthouse."
1970,1,26,217,United States,North America,New York City,1,Armed Assault,0,0,Police,40.697132,Black Nationalists,-73.931351,Police Patrol (including vehicles and convoys),New York Police Officer on patrol in Forest Hills,Firearms,
1970,1,27,217,United States,North America,Norwalk,1,Facility/Infrastructure Attack,0,8800,Government (General),41.241996,Left-Wing Militants,-82.615241,Government Building/Facility/Office,Selective Service office in Norwalk Ohio,Incendiary,
1970,1,28,499,East Germany (GDR),Eastern Europe,Berlin,1,Facility/Infrastructure Attack,0,0,Police,52.50153,Unknown,13.401851,Police Security Forces/Officers,Residence of President of Penal Office,Incendiary,Molotov cocktail
1970,1,28,217,United States,North America,Seattle,1,Bombing/Explosion,0,3000,Religious Figures/Institutions,47.610786,White extremists,-122.331306,Place of Worship,Temple De Hirsch,Explosives,
1970,1,30,217,United States,North America,South Sioux City,1,Bombing/Explosion,0,0,Unknown,42.479999,Strikers,-96.413046,,Unknown,Explosives,Dynamite
1970,1,30,217,United States,North America,South Sioux City,1,Bombing/Explosion,0,2500,Business,42.46634,Strikers,-96.41405,Retail/Grocery/Bakery,A & B Boat Shop,Explosives,Dynamite
1970,1,30,217,United States,North America,Coral Gables,1,Facility/Infrastructure Attack,0,0,Military,25.720851,Student Radicals,-80.277857,Military Recruiting Station/Academy,"Army R.O.T.C., University of Miami",Incendiary,"Two firebombs ignited, at least one of them was thrown.  One of the firebombs was a rag wick set on fire stuffed in a gas tank of a parked car that burnt out.  Two other firebombs did not ignited."
1970,1,31,160,Philippines,Southeast Asia,Bamban,0,Unknown,0,0,Military,15.675051,New People's Army (NPA),120.331618,"Military Personnel (soldiers, troops, officers, forces)",Seaman,Unknown,
1970,1,31,217,United States,North America,Denver,1,Bombing/Explosion,0,0,Police,39.758968,Unknown,-104.876305,"Police Building (headquarters, station, school)","Police Band Building, Denver Colorado",Explosives,Suspected use of dynamite
1970,2,1,217,United States,North America,Portland,1,Facility/Infrastructure Attack,0,4189,Government (General),45.511795,Left-Wing Militants,-122.675629,Government Building/Facility/Office,Selective Service office Local Board No. 28 in Portland Oregon,Incendiary,Fire started with gasoline
1970,2,1,217,United States,North America,Cairo,1,Armed Assault,0,0,Police,37.005105,Black Nationalists,-89.17626899999998,"Police Building (headquarters, station, school)",Illinois State Police in the Pyramid Courts housing project,Firearms,High-powered rifle or carbine
1970,2,2,217,United States,North America,New York City,0,Facility/Infrastructure Attack,0,0,Business,40.697132,Unknown,-73.931351,Retail/Grocery/Bakery,Mays Department Store in Manhattan,Incendiary,Incendiary device
1970,2,3,217,United States,North America,New York City,0,Facility/Infrastructure Attack,0,0,Business,40.697132,Unknown,-73.931351,Retail/Grocery/Bakery,Alexander's Department Store in the Bronx,Incendiary,"Incendiary device packed in a cigarette box that included batteries, chemicals, and a flash cube that was connected to a wristwatch."
1970,2,3,217,United States,North America,New York City,0,Facility/Infrastructure Attack,0,0,Business,40.697132,Unknown,-73.931351,Retail/Grocery/Bakery,Alexander's Department Store in Manhattan,Incendiary,Incendiary device
1970,2,4,217,United States,North America,Akron,1,Bombing/Explosion,0,0,Private Citizens & Property,41.084195,Strikers,-81.514059,Vehicles/Transportation,Unknown,Explosives,Dynamite
1970,2,6,217,United States,North America,Denver,1,Bombing/Explosion,0,200000,Transportation,39.758968,Black Nationalists,-104.876305,Bus (excluding tourists),Denver City School Buses,Explosives,At least 12 dynamite bombs were set off under the gas tanks of the vehicles.
1970,2,6,217,United States,North America,Seattle,1,Bombing/Explosion,0,1000,Government (General),47.610786,White extremists,-122.331306,Politician or Political Party Movement/Meeting/Rally,Fred Dore,Explosives,Dynamite
1970,2,6,217,United States,North America,Seattle,1,Bombing/Explosion,0,0,Religious Figures/Institutions,47.610786,White extremists,-122.331306,Place of Worship,Unknown,Explosives,Dynamite
1970,2,6,217,United States,North America,Dorado,1,Facility/Infrastructure Attack,0,0,Government (General),18.460791,Armed Revolutionary Independence Movement (MIRA),-66.264884,Government Building/Facility/Office,Selective Service office in Dorado Puerto Rico,Incendiary,Firebomb
1970,2,6,217,United States,North America,Rio Piedras,1,Facility/Infrastructure Attack,0,0,Utilities,18.386932,Armed Revolutionary Independence Movement (MIRA),-66.061127,Electricity,Unknown,Incendiary,Firebomb
1970,2,6,217,United States,North America,Carolina,1,Facility/Infrastructure Attack,0,0,Business,18.441963,Armed Revolutionary Independence Movement (MIRA),-66.02631600000001,Hotel/Resort,San Juan Hotel,Incendiary,Firebomb
1970,2,6,217,United States,North America,Boston,1,Facility/Infrastructure Attack,0,0,Military,42.3505,Student Radicals,-71.105399,Military Recruiting Station/Academy,"R.O.T.C. office, Boston University",Incendiary,Molotov cocktail
1970,2,7,217,United States,North America,Whitewater,1,Facility/Infrastructure Attack,0,1000000,Educational Institution,42.838355,Student Radicals,-88.743224,School/University/Educational Building,"Old Mail Hall, Wisconsin State College",Incendiary,Fire
1970,2,8,217,United States,North America,New York City,1,Bombing/Explosion,0,0,Business,40.697132,Armed Revolutionary Independence Movement (MIRA),-73.931351,Multinational Corporation,Queens General Electric Service Center,Explosives,
1970,2,8,217,United States,North America,New York City,1,Bombing/Explosion,0,0,Business,40.697132,Armed Revolutionary Independence Movement (MIRA),-73.931351,Multinational Corporation,Brooklyn General Electric Service Center,Explosives,18-inch pipe bomb
1970,2,9,217,United States,North America,New York City,0,Bombing/Explosion,0,0,Business,40.697132,Armed Revolutionary Independence Movement (MIRA),-73.931351,Multinational Corporation,General Electric Headquarters,Explosives,Pipe bomb in a paper bag
1970,2,9,217,United States,North America,Batavia,1,Bombing/Explosion,0,0,Private Citizens & Property,39.07859000000001,Strikers,-84.17941400000002,Named Civilian,Leslie Jewel,Explosives,Dynamite
1970,2,10,362,West Germany (FRG),Western Europe,Munich,1,Armed Assault,1,60000,Airports & Aircraft,48.139126,Popular Front for the Liberation of Palestine (PFLP),11.580186,Airport,El Al Passenger Bus & Airport Lounge,Firearms,Automatic firearms
1970,2,11,217,United States,North America,Ypsilanti,1,Facility/Infrastructure Attack,0,2500,Educational Institution,42.263414,Student Radicals,-83.66528100000002,School/University/Educational Building,Unknown,Incendiary,Firebomb thrown into building
1970,2,13,217,United States,North America,Berkeley,1,Bombing/Explosion,0,8000,Police,37.874043,Unknown,-122.280022,"Police Building (headquarters, station, school)",Police parking lot,Explosives,Explosive
1970,2,13,362,West Germany (FRG),Western Europe,Munich,1,Facility/Infrastructure Attack,7,60000,Private Citizens & Property,48.139126,Popular Front for the Liberation of Palestine (PFLP),11.580186,House/Apartment/Residence,Jewish Old People's Home,Incendiary,Incendiary
1970,2,13,217,United States,North America,Berkeley,1,Bombing/Explosion,0,0,Police,37.874043,Black Nationalists,-122.280022,"Police Building (headquarters, station, school)",Berkeley Police Station,Explosives,Homemade dynamite time bombs
1970,2,15,217,United States,North America,New York City,1,Bombing/Explosion,0,0,Business,40.697132,Left-Wing Militants,-73.931351,Bank/Commerce,"Chase Manhattan Bank, East Village Branch",Explosives,
1970,2,15,217,United States,North America,Eugene,1,Facility/Infrastructure Attack,0,350000,Military,44.04483,Student Radicals,-123.072606,Military Recruiting Station/Academy,"R.O.T.C. storage area, University of Oregon",Incendiary,Arson
1970,2,16,217,United States,North America,San Francisco,1,Bombing/Explosion,1,3000,Police,37.755363,Unknown,-122.443352,"Police Building (headquarters, station, school)",police station,Explosives,Explosive
1970,2,16,217,United States,North America,Berkeley,1,Bombing/Explosion,0,0,Business,37.874043,Unknown,-122.280022,Retail/Grocery/Bakery,department store,Explosives,Explosive
1970,2,16,217,United States,North America,Berkeley,1,Bombing/Explosion,0,0,Business,37.874043,Unknown,-122.280022,Retail/Grocery/Bakery,department store,Explosives,Explosive
1970,2,16,217,United States,North America,San Francisco,0,Armed Assault,0,0,Police,37.755363,Left-Wing Militants,-122.443352,Police Security Forces/Officers,San Francisco Police Officers,Firearms,Telescope-sighted rifle
1970,2,17,217,United States,North America,Oakland,0,Bombing/Explosion,0,0,Business,37.791927,Unknown,-122.225906,Construction,Walter Boysen Paint Company,Explosives,24 sticks of dynamite
1970,2,17,217,United States,North America,Buckeystown,1,Bombing/Explosion,0,0,Utilities,39.334825,Unknown,-77.431653,Electricity,Power supply of the Frederick Maryland area,Explosives,Dynamite
1970,2,17,217,United States,North America,Covington,1,Bombing/Explosion,0,0,Educational Institution,30.493919,White extremists,-90.132512,School/University/Educational Building,Covington High School,Explosives,
1970,2,17,217,United States,North America,Seattle,0,Bombing/Explosion,0,0,Military,47.610786,Student Radicals,-122.331306,Military Barracks/Base/Headquarters/Checkpost,"Armory, University of Washington",Explosives,Gasoline bomb
1970,2,18,217,United States,North America,Cleveland,1,Bombing/Explosion,0,0,Police,41.479561,Black Nationalists,-81.675461,Police Security Forces/Officers,Unknown,Explosives,Pipe filled with black powder was utilized as a bomb
1970,2,18,217,United States,North America,Vallejo,1,Bombing/Explosion,0,0,Police,38.10083,Black Nationalists,-122.254954,Police Security Forces/Officers,Unknown,Explosives,Military handgrenade wired to a car
1970,2,20,217,United States,North America,Hartford,1,Facility/Infrastructure Attack,0,450,Government (General),41.763325,Left-Wing Militants,-72.67406899999997,Judge/Attorney/Court,United States District Court of Connecticut,Incendiary,Molotov Cocktail
1970,2,20,217,United States,North America,New York City,1,Facility/Infrastructure Attack,0,0,Educational Institution,40.697132,Student Radicals,-73.931351,School/University/Educational Building,Columbia University International Law Library,Incendiary,Firebomb
1970,2,20,217,United States,North America,Seattle,1,Bombing/Explosion,0,0,Educational Institution,47.610786,Student Radicals,-122.331306,School/University/Educational Building,"Construction site of Architecture School, University of Washington",Explosives,Two dynamite bombs
1970,2,21,362,West Germany (FRG),Western Europe,Frankfurt,1,Bombing/Explosion,0,100000,Airports & Aircraft,50.11797,"Popular Front for the Liberation of Palestine, Gen Cmd (PFLP-GC)",8.644191000000001,Aircraft (not at an airport),Austrian Airliner en route to Tel Aviv,Explosives,Barometric bomb
1970,2,21,199,Switzerland,Western Europe,Zurich,1,Bombing/Explosion,47,3000000,Airports & Aircraft,47.36865,"Popular Front for the Liberation of Palestine, Gen Cmd (PFLP-GC)",8.539182,Aircraft (not at an airport),Swiss Air DC-9,Explosives,Explosive
1970,2,21,217,United States,North America,New York City,0,Facility/Infrastructure Attack,0,0,Police,40.697132,Left-Wing Militants,-73.931351,"Police Building (headquarters, station, school)",Charles Street Police Station,Incendiary,Thrown Gasoline Bomb
1970,2,21,217,United States,North America,New York City,1,Facility/Infrastructure Attack,0,0,Military,40.697132,Left-Wing Militants,-73.931351,Military Recruiting Station/Academy,Army Recruiting Booth and Navy Recruiting Booth,Incendiary,Thrown Gasoline Bomb
1970,2,21,217,United States,North America,New York City,1,Bombing/Explosion,0,0,Private Citizens & Property,40.697132,"Weather Underground, Weathermen",-73.931351,Named Civilian,Judge John Murtagh and family,Explosives,Gasoline in bottles detonated by firecrackers
1970,2,21,217,United States,North America,Denver,1,Facility/Infrastructure Attack,0,0,Private Citizens & Property,39.758968,Black Nationalists,-104.876305,Named Civilian,James C. Perrill,Incendiary,Firebomb tossed into home
1970,2,22,217,United States,North America,Ithaca,1,Facility/Infrastructure Attack,0,0,Educational Institution,42.455233,White extremists,-76.475847,School/University/Educational Building,Dormitory housing Black Women's Collective,Incendiary,Kerosene flare pots
1970,2,22,217,United States,North America,Prairie du Sac,0,Bombing/Explosion,0,0,Utilities,43.287052,New Year's Gang,-89.724361,Electricity,"Wisconsin Power and Light Company substation, Prairie du Sac",Explosives,Thirteen sticks of dynamite attached to a battery operated device
1970,2,23,217,United States,North America,South Sioux City,1,Bombing/Explosion,0,0,Utilities,42.47031,Strikers,-96.413949,Electricity,Power Transmission Pole in the Dakota City/Sioux City area,Explosives,Dynamite
1970,2,23,217,United States,North America,South Sioux City,1,Bombing/Explosion,0,0,Utilities,42.47031,Strikers,-96.413949,Electricity,Power Transmission Pole in the Dakota City/Sioux City area,Explosives,Dynamite
1970,2,23,217,United States,North America,South Sioux City,1,Bombing/Explosion,0,0,Utilities,42.47031,Strikers,-96.413949,Electricity,Power Transmission Pole in the Dakota City/Sioux City area,Explosives,Dynamite
1970,2,23,217,United States,North America,South Sioux City,1,Bombing/Explosion,0,0,Utilities,42.47031,Strikers,-96.413949,Electricity,Power Transmission Pole in the Dakota City/Sioux City area,Explosives,Dynamite
1970,2,23,217,United States,North America,Tucson,1,Bombing/Explosion,0,0,Military,32.222232,Left-Wing Militants,-110.925752,Military Barracks/Base/Headquarters/Checkpost,"Selective Service Headquarters, Tucson Arizona.",Explosives,Dynamite
1970,2,24,217,United States,North America,Denver,1,Bombing/Explosion,0,0,Private Citizens & Property,39.758968,White extremists,-104.876305,Named Civilian,Wilfred Keyes,Explosives,Dynamite Pipe Bomb
1970,2,24,217,United States,North America,Champaign,1,Facility/Infrastructure Attack,0,2000,Military,40.101952,Student Radicals,-88.227161,Military Recruiting Station/Academy,"R.O.T.C., University of Illinois",Incendiary,Molotov cocktail thrown through the window of the Armory
1970,2,27,217,United States,North America,Boulder,1,Bombing/Explosion,0,0,Educational Institution,40.007581,Student Radicals,-105.265942,School/University/Educational Building,Institute of Behavioral Sciences,Explosives,Explosive device
1970,2,28,102,Jordan,Middle East & North Africa,Hebron,1,Armed Assault,0,0,Tourists,31.530243,Unknown,35.094162,Tour Bus/Van,Tourist Bus,Firearms,Automatic firearm
1970,3,0,160,Philippines,Southeast Asia,Manila,1,Bombing/Explosion,0,500,Government (Diplomatic),14.596051,Unknown,120.978666,Embassy/Consulate,U.S. Embassy,Explosives,Explosive
1970,3,1,98,Italy,Western Europe,Rome,0,Bombing/Explosion,0,0,Airports & Aircraft,41.890961,Eritrean Liberation Front,12.490069,Aircraft (not at an airport),Ethopian Airliner,Explosives,Explosive
1970,3,1,217,United States,North America,Boulder,1,Bombing/Explosion,0,2000,Military,40.007581,Student Radicals,-105.265942,Military Recruiting Station/Academy,Air Force R.O.T.C. at University of Colorado,Explosives,Explosive device made with 5-gallon can of gasoline
1970,3,1,217,United States,North America,Colorado Springs,1,Facility/Infrastructure Attack,0,0,Military,38.864281,Left-Wing Militants,-104.778412,Military Barracks/Base/Headquarters/Checkpost,"Selective Service Headquarters, Colorado Springs",Incendiary,Firebomb
1970,3,1,217,United States,North America,Boulder,1,Facility/Infrastructure Attack,0,0,Police,40.007581,Student Radicals,-105.265942,Police Patrol (including vehicles and convoys),Police Car,Incendiary,Firebomb
1970,3,1,217,United States,North America,Boulder,1,Bombing/Explosion,0,0,Police,40.014986,Left-Wing Militants,-105.270546,Police Patrol (including vehicles and convoys),Police Car,Explosives,Dynamite
1970,3,2,217,United States,North America,Cleveland,1,Facility/Infrastructure Attack,0,200,Private Citizens & Property,41.479561,Black Nationalists,-81.675461,Named Civilian,Frank Schaeffer,Incendiary,Molotov cocktail
1970,3,3,185,Spain,Western Europe,Unknown,0,Hostage Taking (Kidnapping),0,0,Government (General),,1st of May Group,,Politician or Political Party Movement/Meeting/Rally,"Garrigues, permanent spanish delegaet to Unesco",Unknown,
1970,3,3,217,United States,North America,Denver,1,Bombing/Explosion,0,0,Private Citizens & Property,39.758968,Left-Wing Militants,-104.876305,Vehicles/Transportation,Foreign cars painted red,Explosives,Lead pipe-bomb filled with dynamite
1970,3,3,217,United States,North America,Seattle,1,Bombing/Explosion,0,0,Government (General),47.610786,Student Radicals,-122.331306,Government Building/Facility/Office,Post Office in Seattle's University District,Explosives,Dynamite bomb
1970,3,4,217,United States,North America,Oakland,0,Bombing/Explosion,0,0,Military,37.791927,Left-Wing Militants,-122.225906,Military Barracks/Base/Headquarters/Checkpost,Oakland Army Base,Explosives,Two and one half pound block of C-4 wired to a commercial blasting cap and timing device
1970,3,4,217,United States,North America,Martinez,0,Bombing/Explosion,0,0,Transportation,38.019304,Unknown,-122.134062,Train/Train Tracks/Trolley,Unknown,Explosives,Four sticks of dynamite triggered by a mousetrap
1970,3,4,217,United States,North America,Denver,1,Bombing/Explosion,0,0,Private Citizens & Property,39.758968,Left-Wing Militants,-104.876305,Vehicles/Transportation,Foreign cars painted red,Explosives,Lead pipe-bomb filled with dynamite
1970,3,5,217,United States,North America,Seattle,1,Bombing/Explosion,0,0,Government (General),47.610786,Left-Wing Militants,-122.331306,Government Building/Facility/Office,University District Post Office,Explosives,Two sticks of dynamite
1970,3,5,217,United States,North America,Denver,1,Bombing/Explosion,0,0,Private Citizens & Property,39.758968,Left-Wing Militants,-104.876305,Vehicles/Transportation,Foreign cars painted red,Explosives,Lead pipe-bomb filled with dynamite
1970,3,5,217,United States,North America,San Juan,1,Assassination,2,0,Military,18.386932,Armed Commandos of Liberation,-66.061127,"Military Personnel (soldiers, troops, officers, forces)",Two members of the United States Navy,Firearms,
1970,3,6,83,Guatemala,Central America & Caribbean,Guatemala City,1,Hostage Taking (Kidnapping),0,0,Government (Diplomatic),14.622869,Rebel Armed Forces of Guatemala (FAR),-90.529068,"Diplomatic Personnel (outside of embassy, consulate)","Sean Holley, U.S. labor attache, U.S. embassy",Firearms,Submachine guns
1970,3,6,217,United States,North America,Detroit,0,Bombing/Explosion,0,0,Police,42.331685,"Weather Underground, Weathermen",-83.047924,"Police Building (headquarters, station, school)",Detroit Police Department Building,Explosives,Dynamite
1970,3,6,217,United States,North America,Detroit,0,Bombing/Explosion,0,0,Police,42.331685,"Weather Underground, Weathermen",-83.047924,Police Security Forces/Officers,Detroit Police Officers Association,Explosives,Dynamite
1970,3,9,217,United States,North America,Berkeley,1,Facility/Infrastructure Attack,0,320000,Educational Institution,37.874043,Unknown,-122.280022,School/University/Educational Building,Library,Incendiary,Incendiary
1970,3,9,217,United States,North America,Ashville,1,Facility/Infrastructure Attack,0,0,Private Citizens & Property,33.83651,Ku Klux Klan,-86.254749,Religion Identified,Black Muslims,Chemical,Cyanide in water supply
1970,3,9,217,United States,North America,Bridgeport,1,Facility/Infrastructure Attack,0,0,Religious Figures/Institutions,41.18188,White extremists,-73.19126899999998,Place of Worship,Shiloh Baptist Church,Incendiary,Firebomb
1970,3,9,217,United States,North America,Albuquerque,0,Bombing/Explosion,0,0,Military,35.084319,White extremists,-106.619781,Military Recruiting Station/Academy,Air Force R.O.T.C. at University of New Mexico,Explosives,Homemade incendiary time bomb
1970,3,9,217,United States,North America,Bel Air,0,Bombing/Explosion,2,0,Unknown,39.53894,Black Nationalists,-76.348479,,Unknown,Explosives,Police believed that the bomb had an electric battery
1970,3,10,362,West Germany (FRG),Western Europe,Munich,0,Bombing/Explosion,0,0,Government (General),48.139126,Unknown,11.580186,Judge/Attorney/Court,Court Building (Amstgericht),Explosives,Bomb - timed
1970,3,10,217,United States,North America,Cambridge,1,Bombing/Explosion,0,0,Government (General),38.563122,Left-Wing Militants,-76.078063,Judge/Attorney/Court,Dorchester County Courthouse,Explosives,Time bomb
1970,3,10,217,United States,North America,San Francisco,0,Facility/Infrastructure Attack,0,0,Business,37.755363,Student Radicals,-122.443352,,Office of S. I. Hayakawa,Incendiary,Molotov cocktail
1970,3,11,30,Brazil,South America,Sao Paulo,1,Hostage Taking (Kidnapping),0,0,Government (Diplomatic),-23.550711,Popular Revolutionary Vanguard (VPR),-46.633475,"Diplomatic Personnel (outside of embassy, consulate)","Nobico Okushi, Japanese consul general, Sao PAulo",Unknown,
1970,3,11,217,United States,North America,Champaign,1,Facility/Infrastructure Attack,0,0,Military,40.102408,Student Radicals,-88.227159,Military Recruiting Station/Academy,"Army and Air Force Recruiting Station, University of Illinois",Incendiary,Firebomb
1970,3,12,217,United States,North America,New York City,1,Bombing/Explosion,0,25000,Business,40.697132,Revolutionary Force 9,-73.931351,Retail/Grocery/Bakery,general telephone and electronics,Explosives,Explosive
1970,3,12,217,United States,North America,New York City,1,Bombing/Explosion,0,25000,Business,40.697132,Revolutionary Force 9,-73.931351,Multinational Corporation,IBM,Explosives,Explosive
1970,3,12,217,United States,North America,Chicago,1,Bombing/Explosion,0,0,Police,41.842602,Black Nationalists,-87.681229,Police Patrol (including vehicles and convoys),Chicago Police Car,Explosives,
1970,3,12,217,United States,North America,Chicago,1,Bombing/Explosion,0,0,Police,41.842602,Black Nationalists,-87.681229,Police Patrol (including vehicles and convoys),Chicago Police Car,Explosives,Cherry bomb
1970,3,12,217,United States,North America,New York City,1,Bombing/Explosion,0,0,Business,40.697132,Revolutionary Force 9,-73.931351,Gas/Oil/Electric,Mobil Oil Company Building,Explosives,
1970,3,13,217,United States,North America,Appleton,1,Facility/Infrastructure Attack,0,0,Military,44.260288,Student Radicals,-88.39745500000002,Military Recruiting Station/Academy,R.O.T.C. at Lawrence University,Incendiary,A gasoline can was found
1970,3,13,217,United States,North America,Appleton,1,Facility/Infrastructure Attack,0,0,Educational Institution,44.268598,Student Radicals,-88.42844000000002,School/University/Educational Building,Appleton West High School,Incendiary,Incendiary device
